Index       TIME          V(VCO_OUT_P)      V(VCO_OUT_N)         I(VDD)      
0        0.00000000e+00    6.00000000e-01    6.00000000e-01    0.00000000e+00
1        2.50000000e-15    9.70686181e-01    9.70686710e-01   -9.39809650e-06
2        2.50488281e-15    9.70677759e-01    9.70678288e-01   -9.41645283e-06
3        2.50495911e-15    9.70677627e-01    9.70678156e-01   -9.41673965e-06
4        2.50503540e-15    9.70677495e-01    9.70678025e-01   -9.41702647e-06
5        2.50509868e-15    9.70677386e-01    9.70677916e-01   -9.41726436e-06
6        2.50522524e-15    9.70677168e-01    9.70677697e-01   -9.41774013e-06
7        2.50547835e-15    9.70676731e-01    9.70677261e-01   -9.41869168e-06
8        2.50598457e-15    9.70675858e-01    9.70676388e-01   -9.42059479e-06
9        2.50699703e-15    9.70674112e-01    9.70674642e-01   -9.42440102e-06
10       2.50902193e-15    9.70670620e-01    9.70671150e-01   -9.43201358e-06
11       2.51307174e-15    9.70663637e-01    9.70664168e-01   -9.44723904e-06
12       2.52117135e-15    9.70649678e-01    9.70650211e-01   -9.47769134e-06
13       2.53737058e-15    9.70621783e-01    9.70622320e-01   -9.53860151e-06
14       2.56976904e-15    9.70566089e-01    9.70566633e-01   -9.66044404e-06
15       2.63456596e-15    9.70455082e-01    9.70455639e-01   -9.90421764e-06
16       2.76415980e-15    9.70234577e-01    9.70235164e-01   -1.03921170e-05
17       3.02334749e-15    9.69799530e-01    9.69800181e-01   -1.13693082e-05
18       3.54172285e-15    9.68952671e-01    9.68953465e-01   -1.33291371e-05
19       4.57847357e-15    9.67347165e-01    9.67348315e-01   -1.72696328e-05
20       6.65197503e-15    9.64454615e-01    9.64456747e-01   -2.52270613e-05
21       8.72547648e-15    9.61937123e-01    9.61940598e-01   -3.32764188e-05
22       1.07989779e-14    9.59736556e-01    9.59741733e-01   -4.14059380e-05
23       1.28724794e-14    9.57804143e-01    9.57811380e-01   -4.96056691e-05
24       1.49459808e-14    9.56098967e-01    9.56108621e-01   -5.78671863e-05
25       1.70194823e-14    9.54586682e-01    9.54599107e-01   -6.61833431e-05
26       1.90929837e-14    9.53238423e-01    9.53253975e-01   -7.45480673e-05
27       2.11664852e-14    9.52029905e-01    9.52048936e-01   -8.29561901e-05
28       2.32399866e-14    9.50940661e-01    9.50963524e-01   -9.14033034e-05
29       2.53134881e-14    9.49953414e-01    9.49980460e-01   -9.98856404e-05
30       2.94604910e-14    9.48223815e-01    9.48260275e-01   -1.16942434e-04
31       3.36074939e-14    9.46756500e-01    9.46803768e-01   -1.34107553e-04
32       3.77544968e-14    9.45483676e-01    9.45543137e-01   -1.51365423e-04
33       4.19014997e-14    9.44356151e-01    9.44429186e-01   -1.68704447e-04
34       4.60485026e-14    9.43337991e-01    9.43425971e-01   -1.86115923e-04
35       5.01955055e-14    9.42402771e-01    9.42507064e-01   -2.03593266e-04
36       5.84895113e-14    9.40703216e-01    9.40844206e-01   -2.38725272e-04
37       7.50775229e-14    9.37706066e-01    9.37936573e-01   -3.09619302e-04
38       9.16655345e-14    9.34996996e-01    9.35338258e-01   -3.81275577e-04
39       1.08253546e-13    9.32421084e-01    9.32894020e-01   -4.53633955e-04
40       1.24841558e-13    9.29930156e-01    9.30555384e-01   -5.26661952e-04
41       1.58017581e-13    9.25139186e-01    9.26129639e-01   -6.74627782e-04
42       1.91193604e-13    9.20566352e-01    9.22001414e-01   -8.25029843e-04
43       2.24369627e-13    9.16181546e-01    9.18138812e-01   -9.77736342e-04
44       2.90721674e-13    9.07890264e-01    9.11117945e-01   -1.28955600e-03
45       3.57073720e-13    9.00151730e-01    9.04943469e-01   -1.60932299e-03
46       4.23425767e-13    8.92878145e-01    8.99518753e-01   -1.93632651e-03
47       4.89777813e-13    8.86005842e-01    8.94772816e-01   -2.26994255e-03
48       5.00000000e-13    8.84980079e-01    8.94098971e-01   -2.32189733e-03
49       5.06635205e-13    8.84324046e-01    8.93668760e-01   -2.35572638e-03
50       5.12515458e-13    8.83748185e-01    8.93289394e-01   -2.38575242e-03
51       5.24275963e-13    8.82607416e-01    8.92534444e-01   -2.44589587e-03
52       5.47796975e-13    8.80390493e-01    8.91047087e-01   -2.56672259e-03
53       5.94838998e-13    8.76205519e-01    8.88160661e-01   -2.81045353e-03
54       6.88923045e-13    8.68769553e-01    8.82725630e-01   -3.30560500e-03
55       7.83007091e-13    8.62499843e-01    8.77719254e-01   -3.81006735e-03
56       8.77091138e-13    8.57314653e-01    8.73117559e-01   -4.32265139e-03
57       1.00000000e-12    8.52078866e-01    8.67686399e-01   -5.00258045e-03
58       1.01105941e-12    8.51692691e-01    8.67236945e-01   -5.06432008e-03
59       1.02090038e-12    8.51355671e-01    8.66845022e-01   -5.11931656e-03
60       1.04058234e-12    8.50694913e-01    8.66077100e-01   -5.22942477e-03
61       1.07994624e-12    8.49453382e-01    8.64635425e-01   -5.45030456e-03
62       1.15867406e-12    8.47293643e-01    8.62117877e-01   -5.89443903e-03
63       1.31612969e-12    8.44311426e-01    8.58465479e-01   -6.79000765e-03
64       1.34005316e-12    8.44039781e-01    8.58086939e-01   -6.92685645e-03
65       1.36397664e-12    8.43790645e-01    8.57728526e-01   -7.06376482e-03
66       1.41182358e-12    8.43420511e-01    8.57126326e-01   -7.33789135e-03
67       1.45967053e-12    8.43215390e-01    8.56676010e-01   -7.61233708e-03
68       1.50751748e-12    8.43170644e-01    8.56383536e-01   -7.88697747e-03
69       1.55536443e-12    8.43281008e-01    8.56256110e-01   -8.16168733e-03
70       1.60321137e-12    8.43543281e-01    8.56302233e-01   -8.43634006e-03
71       1.65105832e-12    8.43955670e-01    8.56529884e-01   -8.71080680e-03
72       1.74675222e-12    8.45230481e-01    8.57557863e-01   -9.25858615e-03
73       1.84244611e-12    8.47109602e-01    8.59371508e-01   -9.80401412e-03
74       1.93814001e-12    8.49599831e-01    8.61979222e-01   -1.03459945e-02
75       2.12952780e-12    8.56400440e-01    8.69455975e-01   -1.14147577e-02
76       2.30177681e-12    8.64531169e-01    8.78545088e-01   -1.23544094e-02
77       2.45680092e-12    8.73377154e-01    8.88382937e-01   -1.31772848e-02
78       2.59632262e-12    8.82500493e-01    8.98414095e-01   -1.38962363e-02
79       2.73584432e-12    8.92676761e-01    9.09457067e-01   -1.45921017e-02
80       2.87536602e-12    9.03881496e-01    9.21458555e-01   -1.52625641e-02
81       3.01488772e-12    9.16103713e-01    9.34402306e-01   -1.59053669e-02
82       3.15440942e-12    9.29332717e-01    9.48293533e-01   -1.65182718e-02
83       3.29393112e-12    9.43548546e-01    9.63142313e-01   -1.70990497e-02
84       3.43345282e-12    9.58715316e-01    9.78947009e-01   -1.76454983e-02
85       3.57297452e-12    9.74780938e-01    9.95684538e-01   -1.81554800e-02
86       3.71249622e-12    9.91679526e-01    1.01330678e+00   -1.86269651e-02
87       3.99153962e-12    1.02763180e+00    1.05086437e+00   -1.94463892e-02
88       4.27058302e-12    1.06598153e+00    1.09097331e+00   -2.00920190e-02
89       4.54962641e-12    1.10610231e+00    1.13291376e+00   -2.05540750e-02
90       4.82866981e-12    1.14738350e+00    1.17601563e+00   -2.08257818e-02
91       5.10771321e-12    1.18921160e+00    1.21966881e+00   -2.09032283e-02
92       5.38675661e-12    1.23095198e+00    1.26327813e+00   -2.07853090e-02
93       5.66580001e-12    1.27195403e+00    1.30622302e+00   -2.04737786e-02
94       6.22388681e-12    1.34891024e+00    1.38724088e+00   -1.92973861e-02
95       6.78197361e-12    1.41566995e+00    1.45815853e+00   -1.74447676e-02
96       7.28425173e-12    1.46368508e+00    1.50989524e+00   -1.52886589e-02
97       7.73630203e-12    1.49500627e+00    1.54451678e+00   -1.30411845e-02
98       8.14314731e-12    1.51241843e+00    1.56481626e+00   -1.08456244e-02
99       8.54999258e-12    1.51899512e+00    1.57412288e+00   -8.56070014e-03
100      8.95683786e-12    1.51452412e+00    1.57214198e+00   -6.26004996e-03
101      9.36368314e-12    1.49915584e+00    1.55894902e+00   -4.01778065e-03
102      9.77052841e-12    1.47340041e+00    1.53497244e+00   -1.90605742e-03
103      1.01773737e-11    1.43811725e+00    1.50097007e+00    7.21613396e-06
104      1.05842190e-11    1.39448925e+00    1.45800646e+00    1.66058036e-03
105      1.09910642e-11    1.34398370e+00    1.40742200e+00    3.00100450e-03
106      1.13979095e-11    1.28830529e+00    1.35078643e+00    3.98559911e-03
107      1.18047548e-11    1.22934396e+00    1.28984204e+00    4.58299090e-03
108      1.22116001e-11    1.16911665e+00    1.22644311e+00    4.77431783e-03
109      1.30252906e-11    1.05416015e+00    1.10074791e+00    3.94217860e-03
110      1.36978833e-11    9.72677647e-01    1.00514226e+00    2.10282506e-03
111      1.42577995e-11    9.20720465e-01    9.37002687e-01   -1.10351383e-04
112      1.47223015e-11    8.91729245e-01    8.91002826e-01   -2.31777298e-03
113      1.51403533e-11    8.78243202e-01    8.59026484e-01   -4.51082860e-03
114      1.55165999e-11    8.77156531e-01    8.38410836e-01   -6.58814625e-03
115      1.58928465e-11    8.87007342e-01    8.25701662e-01   -8.70333634e-03
116      1.62690931e-11    9.07968953e-01    8.20789582e-01   -1.07981857e-02
117      1.66453398e-11    9.39945624e-01    8.23317826e-01   -1.28150804e-02
118      1.70215864e-11    9.82556371e-01    8.32711372e-01   -1.46985784e-02
119      1.73978330e-11    1.03510587e+00    8.48232777e-01   -1.63969212e-02
